Time,Total Time,Num Calls,Avg,Med,Min,Max,StdDev,Name
77.40%,432.118 ms,32,13.504 ms,17.271 μs,1.316 μs,75.795 ms,26.138 ms,cudaMemcpyAsync
20.70%,115.391 ms,328,351.802 μs,2.103 μs,1.133 μs,50.930 ms,3.171 ms,cudaLaunchKernel
1.10%,6.075 ms,3,2.025 ms,982.265 μs,720 ns,5.092 ms,2.701 ms,cudaFree
0.30%,1.478 ms,3,492.700 μs,108.853 μs,42.121 μs,1.327 ms,723.404 μs,cuLibraryUnload
0.20%,1.356 ms,32,42.374 μs,9.516 μs,3.114 μs,110.502 μs,43.194 μs,cudaStreamSynchronize
0.20%,1.035 ms,13,79.584 μs,71.801 μs,2.078 μs,200.367 μs,52.228 μs,cudaMalloc
0.10%,449.371 μs,1,449.371 μs,449.371 μs,449.371 μs,449.371 μs,0 ns,cudaHostAlloc
0.00%,144.035 μs,1584,90 ns,67 ns,34 ns,2.696 μs,101 ns,cuGetProcAddress_v2
0.00%,132.674 μs,16,8.292 μs,1.617 μs,531 ns,80.010 μs,20.460 μs,cudaStreamCreateWithFlags
0.00%,72.782 μs,18,4.043 μs,3.830 μs,203 ns,10.555 μs,3.825 μs,cudaMemsetAsync
0.00%,51.072 μs,40,1.276 μs,637 ns,311 ns,3.879 μs,1.266 μs,cudaEventRecord
0.00%,39.686 μs,81,490 ns,211 ns,98 ns,7.791 μs,989 ns,cudaStreamIsCapturing_v10000
0.00%,8.179 μs,19,430 ns,140 ns,122 ns,3.044 μs,700 ns,cudaEventCreateWithFlags
0.00%,6.478 μs,4,1.619 μs,1.250 μs,659 ns,3.319 μs,1.177 μs,cuInit
0.00%,2.854 μs,5,570 ns,156 ns,66 ns,2.247 μs,939 ns,cuModuleGetLoadingMode
