Start,Duration,Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
1.78139s,2.247 μs,cuModuleGetLoadingMode,0,1,235722,235722,20,pt_main_thread
1.92975s,4.531 μs,cudaStreamIsCapturing_v10000,0,134,235722,235722,20,pt_main_thread
1.92975s,92.453 μs,cudaMalloc,0,135,235722,235722,20,pt_main_thread
1.92988s,20.072 μs,cudaMemcpyAsync,0,142,235722,235722,20,pt_main_thread
1.9299s,12.944 μs,cudaStreamSynchronize,0,143,235722,235722,20,pt_main_thread
1.93002s,3.344 μs,cudaMemcpyAsync,0,155,235722,235722,20,pt_main_thread
1.93003s,3.380 μs,cudaStreamSynchronize,0,156,235722,235722,20,pt_main_thread
1.93006s,530 ns,cudaStreamIsCapturing_v10000,0,164,235722,235722,20,pt_main_thread
1.93006s,69.574 μs,cudaMalloc,0,165,235722,235722,20,pt_main_thread
1.93013s,85.904 μs,cudaMemcpyAsync,0,172,235722,235722,20,pt_main_thread
1.93022s,94.123 μs,cudaStreamSynchronize,0,173,235722,235722,20,pt_main_thread
1.93034s,2.354 μs,cudaMemcpyAsync,0,185,235722,235722,20,pt_main_thread
1.93034s,4.112 μs,cudaStreamSynchronize,0,186,235722,235722,20,pt_main_thread
1.93036s,203.266 μs,cudaMemcpyAsync,0,198,235722,235722,20,pt_main_thread
1.93057s,97.101 μs,cudaStreamSynchronize,0,199,235722,235722,20,pt_main_thread
1.93075s,3.061 μs,cudaMemcpyAsync,0,211,235722,235722,20,pt_main_thread
1.93075s,4.176 μs,cudaStreamSynchronize,0,212,235722,235722,20,pt_main_thread
1.93077s,280.436 μs,cudaMemcpyAsync,0,224,235722,235722,20,pt_main_thread
1.93105s,94.800 μs,cudaStreamSynchronize,0,225,235722,235722,20,pt_main_thread
1.93125s,2.909 μs,cudaMemcpyAsync,0,237,235722,235722,20,pt_main_thread
1.93125s,4.131 μs,cudaStreamSynchronize,0,238,235722,235722,20,pt_main_thread
1.93127s,180.936 μs,cudaMemcpyAsync,0,250,235722,235722,20,pt_main_thread
1.93145s,93.322 μs,cudaStreamSynchronize,0,251,235722,235722,20,pt_main_thread
1.93162s,2.760 μs,cudaMemcpyAsync,0,263,235722,235722,20,pt_main_thread
1.93163s,4.182 μs,cudaStreamSynchronize,0,264,235722,235722,20,pt_main_thread
1.93166s,439 ns,cudaStreamIsCapturing_v10000,0,272,235722,235722,20,pt_main_thread
1.93166s,71.801 μs,cudaMalloc,0,273,235722,235722,20,pt_main_thread
1.93173s,12.770 ms,cudaMemcpyAsync,0,280,235722,235722,20,pt_main_thread
1.94451s,110.502 μs,cudaStreamSynchronize,0,281,235722,235722,20,pt_main_thread
1.94696s,6.690 μs,cudaMemcpyAsync,0,293,235722,235722,20,pt_main_thread
1.94697s,5.605 μs,cudaStreamSynchronize,0,294,235722,235722,20,pt_main_thread
