API Start,API Dur,Queue Start,Queue Dur,Kernel Start,Kernel Dur,Total Dur,PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
1.89801s,4.423 ms,-,-,1.90243s,2.976 μs,4.423 ms,236089,236089,0,cudaLaunchKernel,47    1    1,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.90244s,18.250 ms,-,-,1.92068s,35.462 ms,53.710 ms,236089,236089,0,cudaLaunchKernel,11881 3 1,0128 1 1,_5x_cudnn_volta_scudnn_128x32_relu_medium_nn_v1
1.92078s,37.513 ms,-,-,1.9583s,10.088 ms,47.600 ms,236089,236089,0,cudaLaunchKernel,570288    1    1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.95843s,11.815 ms,-,-,1.97024s,7.987 ms,19.801 ms,236089,236089,0,cudaLaunchKernel,285144    1    1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.97058s,7.711 ms,1.97829s,1.187 μs,1.97829s,12.093 ms,19.806 ms,236089,236089,0,cudaLaunchKernel,139968    1    1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
1.97884s,7.807 μs,1.97885s,11.535 ms,1.99039s,2.880 μs,11.546 ms,236089,236089,0,cudaLaunchKernel,12 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.97885s,27.416 μs,1.97888s,11.513 ms,1.9904s,1.616 ms,13.157 ms,236089,236089,0,cudaLaunchKernel,2916 1 1,64    1    1,_5x_cudnn_volta_scudnn_128x32_relu_small_nn_v1
1.97892s,4.778 μs,1.97892s,13.088 ms,1.99201s,416.161 μs,13.509 ms,236089,236089,0,cudaLaunchKernel,23328 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.97896s,3.368 μs,1.97896s,13.470 ms,1.99243s,327.874 μs,13.801 ms,236089,236089,0,cudaLaunchKernel,11664 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.99401s,11.793 μs,-,-,1.99402s,993.028 μs,1.003 ms,236089,236089,0,cudaLaunchKernel,46    1  128,64    1    1,volta_sgemm_64x64_nn
