API Start,API Dur,Queue Start,Queue Dur,Kernel Start,Kernel Dur,Total Dur,PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
1.93595s,4.608 ms,-,-,1.94055s,2.784 μs,4.608 ms,235544,235544,0,cudaLaunchKernel,50    1    1,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.94056s,19.440 ms,-,-,1.96s,19.055 ms,38.494 ms,235544,235544,0,cudaLaunchKernel,12544 1 1,0128 1 1,_5x_cudnn_volta_scudnn_128x64_relu_medium_nn_v1
1.96019s,20.965 ms,-,-,1.98115s,2.688 μs,20.966 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.98343s,5.676 ms,-,-,1.98911s,10.717 ms,16.393 ms,235544,235544,0,cudaLaunchKernel,64    1    1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)512, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
1.98923s,12.363 ms,-,-,2.0016s,5.620 ms,17.983 ms,235544,235544,0,cudaLaunchKernel,200704    1    1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.00172s,5.561 ms,2.00728s,537 ns,2.00728s,8.401 ms,13.962 ms,235544,235544,0,cudaLaunchKernel,100352    1    1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
2.01734s,358.017 μs,2.0177s,808 ns,2.0177s,3.240 ms,3.598 ms,235544,235544,0,cudaLaunchKernel,128   64    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.0177s,8.609 μs,2.01771s,3.235 ms,2.02094s,8.480 μs,3.252 ms,235544,235544,0,cudaLaunchKernel,2 8 2001,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.01774s,3.658 μs,2.01774s,3.209 ms,2.02095s,5.364 ms,8.577 ms,235544,235544,0,cudaLaunchKernel,392    1   36,64    1    1,volta_sgemm_64x64_nn
2.01774s,9.903 μs,2.01775s,8.566 ms,2.02632s,2.348 ms,10.923 ms,235544,235544,0,cudaLaunchKernel,128   64    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.01786s,4.901 μs,2.01787s,10.801 ms,2.02867s,2.368 μs,10.808 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01797s,18.005 μs,2.01798s,10.691 ms,2.02868s,2.450 ms,13.158 ms,235544,235544,0,cudaLaunchKernel,64    1    1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)128, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.01801s,2.978 μs,2.01802s,13.111 ms,2.03113s,1.406 ms,14.520 ms,235544,235544,0,cudaLaunchKernel,50176 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01805s,2.178 μs,2.01805s,14.478 ms,2.03253s,3.244 ms,17.724 ms,235544,235544,0,cudaLaunchKernel,128   64    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.01806s,1.499 μs,2.01806s,17.721 ms,2.03578s,8.448 μs,17.731 ms,235544,235544,0,cudaLaunchKernel,2 8 2001,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.01806s,2.002 μs,2.01806s,17.724 ms,2.03579s,5.368 ms,23.094 ms,235544,235544,0,cudaLaunchKernel,392    1   36,64    1    1,volta_sgemm_64x64_nn
2.01806s,1.336 μs,2.01807s,23.091 ms,2.04116s,2.348 ms,25.440 ms,235544,235544,0,cudaLaunchKernel,128   64    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.01808s,1.991 μs,2.01808s,25.422 ms,2.0435s,2.304 μs,25.427 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01811s,1.844 μs,2.01811s,25.393 ms,2.04351s,2.450 ms,27.846 ms,235544,235544,0,cudaLaunchKernel,64    1    1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)128, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.01813s,13.786 μs,2.01814s,27.820 ms,2.04596s,2.068 ms,29.901 ms,235544,235544,0,cudaLaunchKernel,50176 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
2.01815s,1.663 μs,2.01815s,29.881 ms,2.04803s,1.406 ms,31.289 ms,235544,235544,0,cudaLaunchKernel,50176 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01817s,1.693 μs,2.01817s,31.266 ms,2.04944s,3.238 ms,34.506 ms,235544,235544,0,cudaLaunchKernel,128   64    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.01817s,1.278 μs,2.01817s,34.503 ms,2.05268s,8.896 μs,34.513 ms,235544,235544,0,cudaLaunchKernel,2 8 2001,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.01817s,1.495 μs,2.01818s,34.510 ms,2.05269s,5.366 ms,39.877 ms,235544,235544,0,cudaLaunchKernel,392    1   36,64    1    1,volta_sgemm_64x64_nn
2.01818s,1.313 μs,2.01818s,39.875 ms,2.05805s,2.347 ms,42.223 ms,235544,235544,0,cudaLaunchKernel,128   64    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.01819s,1.592 μs,2.01819s,42.210 ms,2.0604s,2.304 μs,42.214 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
