Start,Duration,Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
1.59996s,1.098 μs,cuModuleGetLoadingMode,0,1,235544,235544,20,pt_main_thread
1.73631s,6.123 μs,cudaStreamIsCapturing_v10000,0,134,235544,235544,20,pt_main_thread
1.73631s,98.023 μs,cudaMalloc,0,135,235544,235544,20,pt_main_thread
1.73645s,16.185 μs,cudaMemcpyAsync,0,142,235544,235544,20,pt_main_thread
1.73647s,6.405 μs,cudaStreamSynchronize,0,143,235544,235544,20,pt_main_thread
1.7366s,2.889 μs,cudaMemcpyAsync,0,155,235544,235544,20,pt_main_thread
1.7366s,3.620 μs,cudaStreamSynchronize,0,156,235544,235544,20,pt_main_thread
1.73661s,1.528 μs,cudaMemcpyAsync,0,168,235544,235544,20,pt_main_thread
1.73661s,3.585 μs,cudaStreamSynchronize,0,169,235544,235544,20,pt_main_thread
1.73662s,1.342 μs,cudaMemcpyAsync,0,181,235544,235544,20,pt_main_thread
1.73663s,3.784 μs,cudaStreamSynchronize,0,182,235544,235544,20,pt_main_thread
1.73663s,1.192 μs,cudaMemcpyAsync,0,194,235544,235544,20,pt_main_thread
1.73664s,3.758 μs,cudaStreamSynchronize,0,195,235544,235544,20,pt_main_thread
1.73665s,1.236 μs,cudaMemcpyAsync,0,207,235544,235544,20,pt_main_thread
1.73665s,3.782 μs,cudaStreamSynchronize,0,208,235544,235544,20,pt_main_thread
1.73667s,13.085 μs,cudaMemcpyAsync,0,220,235544,235544,20,pt_main_thread
1.73669s,17.805 μs,cudaStreamSynchronize,0,221,235544,235544,20,pt_main_thread
1.73672s,1.498 μs,cudaMemcpyAsync,0,233,235544,235544,20,pt_main_thread
1.73672s,3.571 μs,cudaStreamSynchronize,0,234,235544,235544,20,pt_main_thread
1.73673s,1.363 μs,cudaMemcpyAsync,0,246,235544,235544,20,pt_main_thread
1.73673s,3.862 μs,cudaStreamSynchronize,0,247,235544,235544,20,pt_main_thread
1.73674s,1.375 μs,cudaMemcpyAsync,0,259,235544,235544,20,pt_main_thread
1.73674s,3.563 μs,cudaStreamSynchronize,0,260,235544,235544,20,pt_main_thread
1.73675s,1.277 μs,cudaMemcpyAsync,0,272,235544,235544,20,pt_main_thread
1.73675s,3.765 μs,cudaStreamSynchronize,0,273,235544,235544,20,pt_main_thread
1.73676s,1.250 μs,cudaMemcpyAsync,0,285,235544,235544,20,pt_main_thread
1.73676s,3.563 μs,cudaStreamSynchronize,0,286,235544,235544,20,pt_main_thread
1.73677s,11.952 μs,cudaMemcpyAsync,0,298,235544,235544,20,pt_main_thread
1.73678s,16.745 μs,cudaStreamSynchronize,0,299,235544,235544,20,pt_main_thread
1.73681s,1.306 μs,cudaMemcpyAsync,0,311,235544,235544,20,pt_main_thread
