API Start,API Dur,Queue Start,Queue Dur,Kernel Start,Kernel Dur,Total Dur,PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
1.60619s,3.353 ms,1.60954s,1.139 μs,1.60954s,2.400 μs,3.357 ms,236841,236841,0,cudaLaunchKernel,5 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.60954s,17.408 ms,-,-,1.62695s,71.392 μs,17.479 ms,236841,236841,0,cudaLaunchKernel,0256 1 1,64    1    1,_5x_cudnn_volta_scudnn_128x32_relu_small_nn_v1
1.62706s,5.836 ms,1.63289s,216 ns,1.63289s,40.865 μs,5.877 ms,236841,236841,0,cudaLaunchKernel,2048 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.63299s,6.777 ms,1.63976s,65 ns,1.63976s,29.729 μs,6.807 ms,236841,236841,0,cudaLaunchKernel,1024 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.63995s,261.507 μs,1.64021s,1.332 μs,1.64021s,39.808 μs,302.647 μs,236841,236841,0,cudaLaunchKernel,0512 1 1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
1.64078s,6.722 μs,1.64079s,980 ns,1.64079s,2.400 μs,10.102 μs,236841,236841,0,cudaLaunchKernel,2 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.64079s,21.442 μs,1.64081s,1.424 μs,1.64081s,85.665 μs,108.531 μs,236841,236841,0,cudaLaunchKernel,64    1    1,0128 1 1,_5x_cudnn_volta_scudnn_128x32_relu_medium_nn_v1
1.64084s,3.570 μs,1.64084s,56.401 μs,1.6409s,20.544 μs,80.515 μs,236841,236841,0,cudaLaunchKernel,1024 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.64086s,2.123 μs,1.64086s,60.919 μs,1.64092s,14.944 μs,77.986 μs,236841,236841,0,cudaLaunchKernel,0512 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.64088s,2.056 μs,1.64088s,57.949 μs,1.64094s,20.672 μs,80.677 μs,236841,236841,0,cudaLaunchKernel,0256 1 1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
1.64121s,85.305 μs,1.64129s,1.358 μs,1.6413s,4.128 μs,90.791 μs,236841,236841,0,cudaLaunchKernel,2 8 2001,32    4    1,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)"
1.64129s,22.478 μs,1.64132s,3.966 μs,1.64132s,93.025 μs,119.469 μs,236841,236841,0,cudaLaunchKernel,64    1    1,0256 1 1,_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1
1.64133s,2.492 μs,1.64133s,80.938 μs,1.64142s,8.800 μs,92.230 μs,236841,236841,0,cudaLaunchKernel,0512 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.64134s,2.214 μs,1.64135s,79.253 μs,1.64142s,4.640 μs,86.107 μs,236841,236841,0,cudaLaunchKernel,0256 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.64136s,1.999 μs,1.64136s,70.522 μs,1.64143s,10.336 μs,82.857 μs,236841,236841,0,cudaLaunchKernel,0128 1 1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
1.6468s,7.276 μs,1.64681s,1.071 μs,1.64681s,21.536 μs,29.883 μs,236841,236841,0,cudaLaunchKernel,2 1 2005,0256 1 1,volta_sgemm_64x32_sliced1x4_tn
1.64682s,2.327 ms,1.64914s,14 ns,1.64914s,3.520 μs,2.330 ms,236841,236841,0,cudaLaunchKernel,4 2 2001,32   16    1,"void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)1, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
1.64917s,3.509 μs,1.64918s,1.492 μs,1.64918s,1.728 μs,6.729 μs,236841,236841,0,cudaLaunchKernel,8 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.64924s,2.866 μs,1.64925s,2.004 μs,1.64925s,9.824 μs,14.694 μs,236841,236841,0,cudaLaunchKernel,2 1 2001,0128 1 1,volta_sgemm_32x32_sliced1x4_tn
